No.,Application,Organization,time,Critical (7-10),Severe (4-6),Moderate (1-3),Policy,Component,Threat,Policy/Action,Constraint Name,Condition,CVE
96,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Critical,pandas (cp311-cp311-musllinux_1_2_x86_64) 2.2.3 (.whl),10,Security-Critical,Critical risk CVSS score,Found security vulnerability CVE-2020-13091 with severity >= 9 (severity = 9.8),CVE-2020-13091
97,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Medium,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),7,Security-Critical,Medium risk CVSS score,Found security vulnerability CVE-2024-31584 with severity >= 4 (severity = 6.5) | Found security vulnerability CVE-2024-31584 with severity < 7 (severity = 6.5),CVE-2024-31584
98,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Medium,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),7,Security-Critical,Medium risk CVSS score,Found security vulnerability CVE-2025-2998 with severity >= 4 (severity = 5.3) | Found security vulnerability CVE-2025-2998 with severity < 7 (severity = 5.3),CVE-2025-2998
99,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Medium,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),7,Security-Critical,Medium risk CVSS score,Found security vulnerability CVE-2025-2999 with severity >= 4 (severity = 5.3) | Found security vulnerability CVE-2025-2999 with severity < 7 (severity = 5.3),CVE-2025-2999
100,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Medium,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),7,Security-Critical,Medium risk CVSS score,Found security vulnerability CVE-2025-3000 with severity >= 4 (severity = 5.3) | Found security vulnerability CVE-2025-3000 with severity < 7 (severity = 5.3),CVE-2025-3000
101,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Medium,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),7,Security-Critical,Medium risk CVSS score,Found security vulnerability CVE-2025-3001 with severity >= 4 (severity = 5.3) | Found security vulnerability CVE-2025-3001 with severity < 7 (severity = 5.3),CVE-2025-3001
102,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Medium,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),7,Security-Critical,Medium risk CVSS score,Found security vulnerability CVE-2025-3121 with severity >= 4 (severity = 5.5) | Found security vulnerability CVE-2025-3121 with severity < 7 (severity = 5.5),CVE-2025-3121
103,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Medium,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),7,Security-Critical,Medium risk CVSS score,Found security vulnerability CVE-2025-3136 with severity >= 4 (severity = 4.6) | Found security vulnerability CVE-2025-3136 with severity < 7 (severity = 4.6),CVE-2025-3136
104,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Critical,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),10,Security-Critical,Critical risk CVSS score,Found security vulnerability CVE-2025-32434 with severity >= 9 (severity = 9.8),CVE-2025-32434
105,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Low,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),3,Security-Moderate,Low risk CVSS score,Found security vulnerability CVE-2025-2148 with severity >= 0 (severity = 2.3) | Found security vulnerability CVE-2025-2148 with severity < 4 (severity = 2.3),CVE-2025-2148
106,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Low,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),3,Security-Moderate,Low risk CVSS score,Found security vulnerability CVE-2025-2149 with severity >= 0 (severity = 2.0) | Found security vulnerability CVE-2025-2149 with severity < 4 (severity = 2.0),CVE-2025-2149
107,FixKaohsiung__anmicius0,fb1c4d181a994fddb0744b5f126f74a6,10 hours ago,283,0,78,Security-Low,torch (cp38-cp38-manylinux2014_aarch64) 2.2.2 (.whl),3,Security-Moderate,Low risk CVSS score,Found security vulnerability CVE-2025-4287 with severity >= 0 (severity = 3.3) | Found security vulnerability CVE-2025-4287 with severity < 4 (severity = 3.3),CVE-2025-4287
